No,DateTime,Device Name,Location,Energy Consumption (kWh)
361,"04, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
363,"04, 15/12/25",GG_L6_WB_AHU,WB-AHU,
370,"04, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36116.6
371,"04, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28921.67
373,"04, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362470.8
376,"04, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20040.04
380,"04, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,
381,"04, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,
383,"04, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133559.45
384,"04, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,312318.92
385,"04, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138712.27
386,"04, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61983.38
389,"04, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88228.98
403,"05, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
404,"05, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
406,"05, 15/12/25",GG_L5_WB_AHU,WB-AHU,
407,"05, 15/12/25",GG_L4_WT_AHU,WT-AHU,24868.92
408,"05, 15/12/25",GG_L3_WT_AHU,WT-AHU,22792.44
409,"05, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.88
410,"05, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
414,"05, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,224169.7
416,"05, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,61987.72
418,"05, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,168825.84
420,"05, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
422,"05, 15/12/25",GG_L6_WB_AHU,WB-AHU,21727.31
429,"05, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36117.72
