No,DateTime,Device Name,Location,Energy Consumption (kWh)
285,05/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,4487757.08
258,05/11/25,GG_L2_R Panel-SDP PP,R Panel,2887005.79
279,05/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,982475.35
291,05/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1884754.8
293,05/11/25,GG_L3_WB_AHU,WB-AHU,467674.88
280,05/11/25,GG_L3_WT_AHU,WT-AHU,500549.48
306,05/11/25,GG_L4_WB_AHU,WB-AHU,678990.56
267,05/11/25,GG_L4_WT_AHU,WT-AHU,503006.09
254,05/11/25,GG_L5_WB_AHU,WB-AHU,448022.82
277,05/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1253486.04
268,05/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,793486.1
296,05/11/25,GG_L6_WB_AHU,WB-AHU,477269.54
337,06/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,440696.87
332,06/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,635780.8
362,06/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1317616.98
343,06/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,865637.9
338,06/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,842193.79
320,06/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,215203.84
324,06/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,426100.91
359,06/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7839361.31
355,06/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,758435.23
363,06/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1236332.75
349,06/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3036869.61
335,06/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,5346182.88
369,06/11/25,GG_L2_R Panel-SDP PP,R Panel,2895279.75
329,06/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,984524.52
341,06/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1890566.19
344,06/11/25,GG_L3_WB_AHU,WB-AHU,489926.57
330,06/11/25,GG_L3_WT_AHU,WT-AHU,502266.18
357,06/11/25,GG_L4_WB_AHU,WB-AHU,710819.49
317,06/11/25,GG_L4_WT_AHU,WT-AHU,527640.07
365,06/11/25,GG_L5_WB_AHU,WB-AHU,449574.34
328,06/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1313761.99
318,06/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,795822.92
348,06/11/25,GG_L6_WB_AHU,WB-AHU,478921.93
433,07/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,441880.06
428,07/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,637688.56
399,07/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1321070.06
379,07/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,867961.23
388,07/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,844806.89
416,07/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,53960.16
434,07/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,427397.97
394,07/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7853997.41
390,07/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1824435.14
398,07/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,2891160.47
386,07/11/25,GG_L2_R Panel-SDP DB LED,R Panel,2790928.37
431,07/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,5925458.11
405,07/11/25,GG_L2_R Panel-SDP PP,R Panel,2903626.94
426,07/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,986582.35
378,07/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1738374.85
393,07/11/25,GG_L3_WB_AHU,WB-AHU,491688.91
380,07/11/25,GG_L3_WT_AHU,WT-AHU,503956.89
406,07/11/25,GG_L4_WB_AHU,WB-AHU,712899.79
427,07/11/25,GG_L4_WT_AHU,WT-AHU,552356.58
414,07/11/25,GG_L5_WB_AHU,WB-AHU,451116.85
424,07/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1374528.27
415,07/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,798188
383,07/11/25,GG_L6_WB_AHU,WB-AHU,480572.01
451,08/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,442563.29
446,08/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,638901.81
476,08/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1150322.41
457,08/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,869572.54
452,08/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,845997.56
495,08/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,54063.24
499,08/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,427983.84
472,08/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7876580.58
469,08/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1828968.73
477,08/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1242114.62
463,08/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3052649.43
449,08/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,5943067.81
483,08/11/25,GG_L2_R Panel-SDP PP,R Panel,2911901.09
443,08/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,988644.21
455,08/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1821532.45
458,08/11/25,GG_L3_WB_AHU,WB-AHU,492491.68
444,08/11/25,GG_L3_WT_AHU,WT-AHU,504737.3
471,08/11/25,GG_L4_WB_AHU,WB-AHU,713842.08
492,08/11/25,GG_L4_WT_AHU,WT-AHU,553167.38
479,08/11/25,GG_L5_WB_AHU,WB-AHU,451990.79
442,08/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1377426.28
493,08/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,799716.62
462,08/11/25,GG_L6_WB_AHU,WB-AHU,481315.22
561,09/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,442847.86
555,09/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,639426.82
526,09/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1380967.33
506,09/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,870756
562,09/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,775497.77
544,09/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,108126.48
548,09/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,410151.18
521,09/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7906434.39
518,09/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1832115.11
525,09/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1453173.22
513,09/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3060272.38
560,09/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6810007.38
533,09/11/25,GG_L2_R Panel-SDP PP,R Panel,2920144.97
553,09/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,990710.74
505,09/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1904824.16
507,09/11/25,GG_L3_WB_AHU,WB-AHU,492520.13
554,09/11/25,GG_L3_WT_AHU,WT-AHU,504737.3
519,09/11/25,GG_L4_WB_AHU,WB-AHU,684098.66
541,09/11/25,GG_L4_WT_AHU,WT-AHU,553167.38
528,09/11/25,GG_L5_WB_AHU,WB-AHU,433527.9
551,09/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1379257.21
542,09/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,800509.05
511,09/11/25,GG_L6_WB_AHU,WB-AHU,481315.22
610,10/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,443664.2
604,10/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,640648.82
574,10/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1268237.34
616,10/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,872619.22
611,10/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,847384.51
593,10/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,126393.94
597,10/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,428732.94
570,10/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7931985.66
567,10/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1377504.08
575,10/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1664040.95
622,10/11/25,GG_L2_R Panel-SDP DB LED,R Panel,2812473.53
608,10/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,5405934.75
581,10/11/25,GG_L2_R Panel-SDP PP,R Panel,2928339.91
602,10/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,951386.81
614,10/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1670899.56
617,10/11/25,GG_L3_WB_AHU,WB-AHU,493535.78
603,10/11/25,GG_L3_WT_AHU,WT-AHU,484631.09
569,10/11/25,GG_L4_WB_AHU,WB-AHU,685368.2
590,10/11/25,GG_L4_WT_AHU,WT-AHU,554177.66
577,10/11/25,GG_L5_WB_AHU,WB-AHU,453228.94
601,10/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1324147.11
591,10/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,768600.18
621,10/11/25,GG_L6_WB_AHU,WB-AHU,462155.68
650,11/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,315154.3
644,11/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,455074.48
675,11/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,983314.47
656,11/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,619818.98
660,11/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,601827.94
676,11/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,72380.04
646,11/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,304501.19
671,11/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,5630851.75
688,11/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1228219.06
687,11/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1250781.8
