No,DateTime,Device Name,Location,Energy Consumption (kWh)
269,18/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1694658.95
271,18/12/25,GG_L3_WB_AHU,WB-AHU,522355.04
258,18/12/25,GG_L3_WT_AHU,WT-AHU,506871.31
284,18/12/25,GG_L4_WB_AHU,WB-AHU,744776.2
245,18/12/25,GG_L4_WT_AHU,WT-AHU,552982.63
292,18/12/25,GG_L5_WB_AHU,WB-AHU,454013.38
302,18/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1374381.47
280,18/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,837997.6
247,18/12/25,GG_L6_WB_AHU,WB-AHU,439439.1
347,19/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,487343.92
329,19/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,702780.24
325,19/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1193841.89
306,19/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,920998.71
362,19/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,816721.3
366,19/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
348,19/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,447751.32
356,19/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8419248.62
365,19/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1363294.2
367,19/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1130792.59
312,19/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2799652.24
359,19/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4106280.09
332,19/12/25,GG_L2_R Panel-SDP PP,R Panel,2024832.68
353,19/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,805926.82
364,19/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,537508.79
307,19/12/25,GG_L3_WB_AHU,WB-AHU,501153.71
354,19/12/25,GG_L3_WT_AHU,WT-AHU,554627.1
320,19/12/25,GG_L4_WB_AHU,WB-AHU,779262.87
341,19/12/25,GG_L4_WT_AHU,WT-AHU,579838.82
328,19/12/25,GG_L5_WB_AHU,WB-AHU,455338.9
339,19/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1064417.23
